r3 s000 t00
(3,1) 00:00.000
(2,2) 00:00.862
(3,8) 00:00.933
(2,1) 00:01.718
(3,2) 00:01.902
-(2,2)  00:02.860
(2,2) 00:02.931
(2,3) 00:03.797
(2,8) 00:04.163
-(2,3)  00:08.181
(3,3) 00:05.117
(1,2) 00:08.978
(3,4) 00:06.070
-(1,2)  00:09.135
(2,4) 00:11.820
(1,3) 00:12.683
(2,3) 00:12.638
-(1,3)  00:13.435
(1,2) 00:15.614
(1,3) 00:14.292
(1,1) 00:18.783
(1,7) 00:16.909
(1,1)->(1,8) 00:25.186
(1,7)->(1,6) 00:18.661
(1,8)->(1,1) 00:27.009
(1,3)->(1,4) 00:21.829
(1,2)->(1,3) 00:29.741
(2,4)->(2,5) 00:23.310
(1,3)->(1,2) 00:31.160
(2,5)->(1,5) 00:25.351
-(1,1)  00:26.217
(1,2)->(1,1) 00:34.764
(1,5)->(2,5) 00:28.847
(1,1)->(1,2) 00:36.665
(2,5)->(3,5) 00:30.555
(1,2)->(1,3) 00:43.333
(1,6)->(1,5) 00:31.964
(1,3)->(1,2) 00:45.544
(1,5)->(2,5) 00:33.201
(1,2)->(1,3) 00:48.734
(1,4)->(1,5) 00:34.476
-(1,3)  00:35.306
(3,8)->(3,7) 00:56.347
(2,5)->(2,6) 00:37.406
(3,7)->(3,8) 00:58.193
(3,5)->(2,5) 00:39.694
(3,8)->(3,7) 01:01.938
(1,5)->(1,4) 00:41.361
(3,7)->(3,8) 01:03.645
(2,3)->(2,4) 00:43.490
-(3,2)  00:46.140
(3,3)->(3,2) 01:10.759
-(1,4)  01:72.136
(2,2)->(2,3) 00:47.966
(3,2)->(3,3) 01:13.383
(2,3)->(2,2) 00:50.108
(3,1)->(3,2) 01:15.424
-(2,2)  01:16.448
(2,4)->(2,3) 00:55.468
(3,8)->(3,1) 01:18.611
(2,3)->(2,2) 00:57.257
-(3,1)  00:58.015
(3,3)->(2,3) 01:24.964
(2,8)->(2,7) 00:59.896
(2,3)->(3,3) 01:26.208
(2,1)->(2,8) 01:01.493
-(3,2)  01:02.658
Player2 win!
